brand,price,fuel,month,year,mileage,power,url
Saab 9-3 Sport Sedan 2.2 TiD Vector,5500.0,Diesel,Novembro,2004,204000,125,https://www.standvirtual.com/carros/anuncio/saab-9-3-sport-sedan-2-2-tid-vector-ID8PzKl3.html
BMW 120 d Cabrio Aut. Edition Sport,12900.0,Diesel,Maio,2008,212354,177,https://www.standvirtual.com/carros/anuncio/bmw-120-d-cabrio-aut-edition-sport-ID8PvPXg.html
Land Rover Freelander 2.0 di,3750.0,Diesel,Setembro,1999,198000,97,https://www.standvirtual.com/carros/anuncio/land-rover-freelander-2-0-di-ID8Pz6Sb.html
Peugeot 208 1.4 HDi Active,8990.0,Diesel,Novembro,2012,180000,68,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-active-ID8Pt4We.html
Peugeot 208 1.6 BlueHDi Style,13950.0,Diesel,Abril,2018,97030,100,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8PyUmM.html
Tesla Model S,38950.0,Eléctrico,Junho,2018,117369,525,https://www.standvirtual.com/carros/anuncio/tesla-model-s-ID8PyfLy.html
SEAT Arona 1.0 TSI FR,17980.0,Gasolina,Outubro,2018,67990,115,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-fr-ID8PzrDW.html
Citroën C1 1.0 VTi Feel,13590.0,Gasolina,Março,2021,76574,68,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PyX7Y.html
Peugeot 108 1.0 VTi Active,12980.0,Gasolina,Julho,2019,33000,72,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PxI09.html
Fiat 500L 1.3 MJ Cross,14900.0,Diesel,Agosto,2019,65000,95,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-cross-ID8PzyiQ.html
Renault Captur 1.0 TCe Exclusive,19995.0,Gasolina,Junho,2022,6899,90,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-exclusive-ID8PzxL6.html
SEAT Arona 1.0 TSI FR,24980.0,Gasolina,Janeiro,2023,9850,110,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-fr-ID8PzrE5.html
Renault Captur 0.9 TCE Exclusive,15480.0,Gasolina,Setembro,2018,81436,90,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PyxlD.html
Mercedes-Benz C 220 d Avantgarde,41900.0,Diesel,Agosto,2020,61400,194,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8PkQXL.html
Renault Kadjar,22650.0,Diesel,Julho,2018,56037,110,https://www.standvirtual.com/carros/anuncio/renault-kadjar-ID8PvwFw.html
Ford Puma 1.0 EcoBoost MHEV ST-Line,28750.0,Gasolina,Junho,2023,6000,125,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-mhev-st-line-ID8PyX7R.html
Mercedes-Benz C 220 d,42900.0,Diesel,Janeiro,2020,56800,194,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-ID8Pm6dx.html
Mercedes-Benz C 220 d Avantgarde,41900.0,Diesel,Setembro,2020,85770,194,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8Pm6eu.html
Mercedes-Benz C 300 d AMG Line,44900.0,Diesel,Fevereiro,2020,70000,245,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-d-amg-line-ID8Pm6dy.html
Peugeot 2008 1.6 BlueHDi Active,15990.0,Diesel,Fevereiro,2018,121000,100,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-active-ID8PxLFZ.html
Renault Grand Scénic 1.5 dCi Intens Hybrid Assist SS,19980.0,Diesel,Maio,2018,201000,110,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-intens-hybrid-assist-ss-ID8Pydke.html
Citroën C4 Cactus 1.6 BlueHDi Shine,15980.0,Diesel,Dezembro,2017,78000,100,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-shine-ID8PxNUb.html
VW Polo 1.0 TSI Confortline,16450.0,Gasolina,Junho,2021,41980,95,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-tsi-confortline-ID8PsfYV.html
Fiat Punto Evo 1.2 Dynamic Style,6790.0,Gasolina,Abril,2011,116000,69,https://www.standvirtual.com/carros/anuncio/fiat-punto-evo-1-2-dynamic-style-ID8Pr3eI.html
Alfa Romeo Giulia 2.2 D Super AT8,24450.0,Diesel,Agosto,2017,90350,180,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulia-2-2-d-super-at8-ID8Pz4n1.html
Mercedes-Benz A 180 d Urban,13350.0,Diesel,Março,2013,233465,109,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-urban-ID8PzamR.html
MINI Clubman Cooper D,23750.0,Diesel,Fevereiro,2017,71900,150,https://www.standvirtual.com/carros/anuncio/mini-clubman-cooper-d-ID8PpEY7.html
Ford Focus SW 1.5 TDCi EcoBlue Titanium,17850.0,Diesel,Setembro,2019,101200,120,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-ecoblue-titanium-ID8PnWv8.html
Peugeot 3008 1.5 BlueHDi Allure EAT8,28500.0,Diesel,Outubro,2020,48000,130,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-eat8-ID8PxADr.html
VW Golf 1.6 TDi Trendline,14250.0,Diesel,Maio,2015,144000,90,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-trendline-ID8Pt3eE.html
Renault Captur ENERGY dCi 90 S&S Intens,14990.0,Diesel,Março,2015,168000,90,https://www.standvirtual.com/carros/anuncio/renault-captur-energy-dci-90-s-s-intens-ID8Pv7GO.html
